127.0.0.1 - - [20/Mar/2020:15:02:49 -0500] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:02:50 -0500] "GET /TournamentRankings/MyServletRankingApp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:08:10 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:08:14 -0500] "GET /TournamentRankings/MyServletRankingApp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:18:34 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:55:12 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:55:17 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2020:15:56:13 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:01:37 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:02:06 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:03:10 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:08:25 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:10:45 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:10:47 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:15:05 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:15:21 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:15:37 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:18:46 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:19:20 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [20/Mar/2020:16:21:56 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2020:17:49:17 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [20/Mar/2020:18:22:46 -0500] "GET /TournamentRankings/RankingWebPage.html HTTP/1.1" 200 737
